7zip 25.01-1
lib32-libunistring 1.3-1
lib32-libunwind 1.8.1-1
lib32-libusb 1.0.29-1
lib32-libva 2.22.0-1
lib32-libvdpau 1.5-3
lib32-libvorbis 1.3.7-4
lib32-libvpx 1.15.2-1
lib32-libx11 1.8.12-2
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
lib32-libxcrypt-compat 4.5.2-1
lib32-libxcursor 1.2.3-1
lib32-libxdamage 1.1.6-2
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.6-1
lib32-libxfixes 6.0.1-2
lib32-libxft 2.3.8-2
lib32-libxi 1.8.2-1
lib32-libxinerama 1.1.5-2
lib32-libxkbcommon 1.13.1-1
lib32-libxml2 2.15.1-4
lib32-libxrandr 1.5.4-1
lib32-libxrender 0.9.11-2
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.4-2
lib32-libxtst 1.2.5-2
lib32-libxv 1.0.12-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:21.1.6-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:25.3.3-1
lib32-mpg123 1.33.4-1
lib32-ncurses 6.5-2
lib32-nettle 3.10.2-1
lib32-nspr 4.38.2-1
lib32-nss 3.119.1-1
lib32-nvidia-utils 590.48.01-1
lib32-openal 1.25.0-1
lib32-openssl 1:3.6.0-1
lib32-openssl-1.1 1.1.1.w-2
lib32-opus 1.6-1
lib32-orc 0.4.41-1
lib32-p11-kit 0.25.10-2
lib32-pam 1.7.1-1
lib32-pango 1:1.57.0-2
lib32-pcre2 10.47-1
lib32-pipewire 1:1.4.9-1
lib32-pixman 0.46.4-1
lib32-popt 1.19-2
lib32-speex 1.2.1-2
lib32-spirv-tools 1:1.4.335.0-1
lib32-sqlite 3.51.1-1
lib32-systemd 259-1
lib32-taglib 2.1.1-1
lib32-twolame 0.4.0-3
lib32-util-linux 2.41.3-1
lib32-v4l-utils 1.32.0-1
lib32-vkd3d 1.18-1
lib32-vulkan-icd-loader 1.4.335.0-1
lib32-vulkan-mesa-implicit-layers 1:25.3.3-1
lib32-vulkan-nouveau 1:25.3.3-1
lib32-vulkan-radeon 1:25.3.3-1
lib32-wavpack 5.8.1-1
lib32-wayland 1.24.0-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.2-1
lib32-zlib 1.3.1-2
lib32-zstd 1.5.7-2
libabw 0.1.3-5
libadwaita 1:1.8.3-1
libaec 1.1.4-3
libaemu 0.1.2-5
libaio 0.3.113-3
libao 1.2.2-7
libappindicator 12.10.1-1
libarchive 3.8.5-1
libass 0.17.4-1
libassuan 3.0.0-1
libastal-4-git r853.5baeb66-1
libastal-apps-git r786.ca3190d-2
libastal-auth-git r667.37f0d24-1
libastal-battery-git r786.ca3190d-2
libastal-bluetooth-git r786.ca3190d-2
libastal-cava-git r667.37f0d24-1
libastal-git r853.5baeb66-1
libastal-gjs-git r667.37f0d24-1
libastal-greetd-git r786.ca3190d-2
libastal-hyprland-git r786.ca3190d-2
libastal-io-git r786.ca3190d-2
libastal-meta 1-8
libastal-mpris-git r786.ca3190d-2
libastal-network-git r786.ca3190d-2
libastal-notifd-git r786.ca3190d-2
libastal-powerprofiles-git r786.ca3190d-2
libastal-river-git r667.37f0d24-1
libastal-tray-git r786.ca3190d-2
libastal-wireplumber-git r778.7d28889-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-7
libatomic_ops 7.8.2-1
libavc1394 0.5.4-7
libavif 1.3.0-3
libavtp 0.2.0-3
libayatana-appindicator 0.5.94-1
libayatana-indicator 0.9.4-1
libb2 0.98.1-3
libblake3 1.8.2-1
libblockdev 3.4.0-1
libblockdev-crypto 3.4.0-1
libblockdev-fs 3.4.0-1
libblockdev-loop 3.4.0-1
libblockdev-mdraid 3.4.0-1
libblockdev-nvme 3.4.0-1
libblockdev-part 3.4.0-1
libblockdev-smart 3.4.0-1
libblockdev-swap 3.4.0-1
libbluray 1.4.0-2
libbpf 1.6.2-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libburn 1.5.6-1
libbytesize 2.11-1
libc++ 21.1.6-1
libc++abi 21.1.6-1
libcaca 0.99.beta20-5
libcacard 2.8.1-1
libcamera 0.6.0-1
libcamera-ipa 0.6.0-1
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.77-1
libcap-ng 0.8.5-3
libcava 0.10.6-2
